x_value,sender_1_rssi,sender_2_rssi
0,0,0
1,0,-56
2,-79,-56
3,-79,-56
4,-80,-56
5,-80,-56
6,-80,-56
7,-81,-56
8,-81,-56
9,-81,-56
10,-80,-56
11,-80,-55
12,-80,-55
13,-80,-55
14,-80,-54
15,-79,-54
16,-79,-57
17,-81,-57
18,-81,-58
19,-73,-58
20,-73,-62
21,-73,-62
22,-81,-62
23,-81,-58
24,-85,-58
25,-85,-57
26,-85,-57
27,-83,-57
28,-83,-57
29,-83,-57
30,-83,-57
31,-86,-57
32,-86,-57
33,-80,-57
34,-80,-57
35,-80,-55
36,-72,-55
37,-72,-56
38,-77,-56
39,-77,-56
40,-77,-60
41,-72,-60
42,-72,-59
43,-69,-59
44,-69,-59
45,-69,-61
46,-70,-61
47,-70,-61
48,-70,-60
49,-68,-60
50,-68,-60
51,-68,-60
52,-69,-60
53,-69,-59
54,-69,-59
55,-69,-57
56,-68,-57
57,-68,-58
58,-68,-58
59,-68,-57
60,-68,-57
61,-68,-56
62,-68,-56
63,-68,-55
64,-68,-55
65,-68,-55
66,-68,-55
67,-68,-54
68,-68,-54
69,-68,-54
70,-68,-54
71,-68,-54
72,-69,-54
73,-69,-53
74,-73,-53
75,-73,-56
76,-73,-56
77,-76,-56
78,-76,-51
79,-74,-51
80,-74,-53
81,-74,-53
82,-74,-53
83,-74,-59
84,-73,-59
85,-73,-53
86,-73,-53
87,-70,-53
88,-70,-50
89,-70,-50
90,-70,-59
91,-71,-59
92,-71,-56
93,-70,-56
94,-70,-56
95,-70,-52
96,-70,-51
97,-70,-53
98,-70,-48
99,-70,-46
100,-70,-55
101,-70,-49
102,-70,-46
103,-70,-52
104,-70,-50
105,-70,-50
106,-70,-45
107,-70,-45
108,-70,-54
109,-70,-50
110,-70,-46
111,-70,-52
112,-70,-52
113,-70,-51
114,-70,-53
115,-70,-51
116,-70,-61
117,-70,-61
118,-70,-61
119,-70,-56
120,-66,-56
121,-66,-55
122,-73,-55
123,-73,-59
124,-73,-59
125,-73,-55
126,-66,-55
127,-66,-55
128,-66,-52
129,-74,-52
130,-74,-58
131,-74,-58
132,-68,-58
133,-68,-56
134,-66,-56
135,-66,-51
136,-66,-51
137,-71,-51
138,-71,-51
139,-71,-60
140,-69,-60
141,-69,-56
142,-74,-56
143,-74,-50
144,-70,-50
145,-70,-58
146,-66,-58
147,-66,-58
148,-66,-53
149,-68,-53
150,-68,-55
151,-70,-55
152,-70,-60
153,-68,-60
154,-68,-52
155,-69,-52
156,-69,-50
157,-71,-50
158,-71,-57
159,-67,-57
160,-67,-57
161,-67,-52
162,-67,-52
163,-68,-52
164,-68,-52
