x_value,sender_rssi
401,-74
402,-70
403,-76
404,-74
405,-69
406,-74
407,-69
408,-74
409,-72
410,-73
411,-76
412,-75
414,-76
415,-74
416,-74
417,-77
418,-75
419,-70
420,-71
421,-69
422,-70
423,-74
424,-73
425,-74
426,-74
427,-68
428,-68
429,-73
430,-69
431,-70
432,-75
433,-74
434,-70
435,-70
436,-75
437,-70
438,-75
439,-71
440,-75
442,-73
443,-70
444,-71
445,-73
446,-70
447,-71
448,-74
449,-75
450,-75
451,-76
452,-74
453,-76
454,-75
455,-71
456,-71
457,-74
458,-75
459,-75
460,-76
461,-75
462,-75
463,-75
464,-69
465,-75
466,-70
467,-69
468,-69
469,-68
470,-69
471,-69
472,-70
473,-74
474,-69
475,-74
476,-68
477,-68
478,-69
479,-75
480,-74
481,-70
482,-70
483,-75
484,-77
485,-69
486,-69
487,-69
488,-70
489,-68
490,-69
491,-70
492,-76
493,-70
494,-76
495,-70
496,-69
497,-70
498,-69
499,-70
500,-69
