x_value,sender_rssi
7,-108
8,-106
9,-109
10,-109
11,-110
12,-109
13,-109
14,-111
15,-110
16,-110
17,-108
18,-109
19,-111
20,-108
21,-108
22,-110
23,-106
24,-108
26,-107
27,-106
28,-105
29,-105
30,-106
31,-110
32,-106
33,-106
34,-104
35,-109
36,-109
37,-109
38,-97
39,-94
40,-94
41,-93
42,-94
43,-95
44,-92
45,-94
46,-95
47,-93
48,-93
49,-95
50,-97
51,-98
52,-95
53,-95
54,-93
55,-93
56,-95
57,-95
58,-95
59,-94
60,-94
61,-96
62,-96
63,-96
64,-94
65,-99
66,-96
67,-96
68,-92
69,-93
70,-95
71,-96
72,-95
73,-93
74,-94
75,-95
76,-93
77,-95
78,-96
79,-95
80,-94
81,-94
82,-93
83,-93
84,-98
85,-95
86,-96
87,-95
88,-96
89,-94
90,-96
91,-95
92,-94
93,-95
94,-94
95,-96
96,-97
97,-92
98,-97
99,-93
100,-91
101,-93
102,-92
103,-94
104,-92
105,-94
106,-95
107,-94
108,-93
109,-93
110,-93
111,-93
112,-90
113,-91
115,-90
116,-91
117,-107
118,-90
119,-89
120,-90
121,-93
122,-92
123,-91
124,-91
125,-92
126,-92
127,-91
128,-93
129,-92
130,-92
131,-91
132,-91
133,-90
134,-91
135,-93
136,-92
137,-93
138,-91
139,-92
140,-93
141,-93
143,-94
144,-91
145,-90
146,-93
147,-91
148,-93
149,-92
150,-91
151,-93
152,-92
153,-93
154,-93
155,-92
156,-92
157,-91
159,-92
160,-92
161,-91
162,-91
163,-92
164,-94
165,-92
166,-92
167,-93
168,-92
169,-90
170,-92
171,-92
172,-92
173,-92
174,-92
175,-92
176,-90
177,-94
178,-91
179,-92
180,-90
181,-91
182,-91
183,-92
184,-92
