x_value,sender_rssi
1,-88
2,-87
3,-88
4,-88
5,-89
6,-89
6,-82
8,-90
9,-89
10,-89
11,-90
13,-89
14,-89
15,-89
16,-89
17,-90
18,-90
19,-87
20,-88
21,-88
22,-87
23,-90
24,-89
25,-89
26,-90
27,-88
28,-89
29,-89
30,-90
31,-93
32,-85
33,-85
34,-87
35,-87
36,-86
37,-86
38,-87
39,-89
40,-88
41,-88
42,-88
43,-88
44,-87
45,-88
46,-88
47,-86
48,-87
49,-89
50,-87
51,-87
52,-85
53,-88
54,-88
55,-86
56,-86
57,-86
58,-89
59,-89
60,-88
61,-88
62,-84
63,-85
64,-89
65,-89
66,-90
67,-89
68,-89
69,-90
70,-90
71,-90
72,-88
73,-88
74,-87
75,-87
76,-87
77,-88
78,-88
79,-88
80,-86
81,-86
82,-87
83,-86
84,-86
85,-86
86,-85
87,-85
88,-88
88,-74
90,-87
91,-87
92,-87
93,-88
94,-87
95,-87
96,-85
97,-87
98,-85
99,-84
100,-84
101,-84
102,-83
103,-84
104,-84
105,-85
106,-82
107,-87
108,-86
109,-87
110,-87
111,-86
111,-69
113,-87
114,-86
115,-86
116,-83
117,-84
118,-86
119,-86
120,-84
121,-87
122,-87
