x_value,sender_rssi
1,-67
2,-66
3,-66
4,-79
5,-68
6,-82
7,-72
8,-79
9,-72
10,-71
11,-69
12,-72
13,-72
14,-77
15,-76
16,-73
17,-77
18,-74
20,-78
21,-76
22,-76
25,-82
26,-82
27,-79
28,-76
29,-77
30,-79
31,-70
32,-73
33,-78
34,-83
35,-76
36,-77
37,-77
38,-80
39,-74
40,-81
41,-79
42,-83
43,-78
44,-72
45,-73
46,-76
47,-76
48,-72
49,-71
50,-69
51,-71
52,-76
53,-69
54,-67
55,-75
56,-71
57,-69
58,-67
59,-66
60,-74
61,-79
62,-79
63,-79
64,-80
65,-76
66,-80
67,-78
68,-75
69,-79
70,-81
71,-75
72,-74
73,-82
74,-78
75,-78
76,-75
77,-78
78,-80
79,-78
80,-67
81,-71
82,-73
83,-70
84,-71
85,-70
86,-71
88,-73
89,-71
90,-74
91,-76
92,-81
93,-77
94,-78
95,-77
96,-81
97,-77
98,-82
99,-79
100,-74
101,-77
102,-79
103,-75
104,-96
105,-78
106,-81
107,-87
108,-86
109,-86
110,-79
111,-80
112,-85
113,-80
114,-70
115,-76
116,-86
117,-84
118,-79
119,-81
120,-85
121,-80
122,-83
123,-78
124,-81
125,-80
126,-85
127,-83
128,-78
129,-80
130,-84
131,-83
132,-84
133,-83
134,-87
135,-85
136,-76
137,-71
138,-76
139,-71
140,-73
141,-72
142,-69
143,-78
144,-76
145,-78
146,-88
147,-72
148,-72
149,-78
150,-81
151,-79
152,-76
153,-78
154,-77
155,-76
156,-74
157,-79
158,-78
159,-71
160,-79
161,-80
162,-75
163,-80
164,-70
165,-69
166,-71
167,-73
168,-71
169,-70
170,-73
171,-71
172,-67
173,-73
174,-69
175,-74
176,-67
177,-67
178,-72
179,-73
180,-75
181,-68
182,-69
183,-67
184,-70
185,-70
186,-69
187,-74
188,-72
189,-67
190,-76
191,-77
192,-74
193,-69
194,-77
195,-76
196,-70
197,-72
198,-74
200,-77
201,-80
202,-73
203,-74
204,-78
205,-70
206,-75
207,-73
208,-74
209,-69
210,-75
211,-68
212,-70
213,-71
214,-73
215,-70
216,-72
217,-75
218,-70
219,-69
220,-73
221,-66
222,-69
223,-75
224,-64
225,-77
226,-65
227,-72
228,-75
229,-71
230,-73
231,-73
232,-76
233,-71
234,-71
235,-72
236,-75
237,-73
238,-79
239,-90
240,-76
241,-75
242,-64
243,-64
244,-64
245,-64
246,-65
247,-70
248,-70
249,-68
250,-71
251,-64
252,-65
253,-67
254,-67
255,-69
256,-71
257,-68
258,-65
259,-65
260,-67
261,-71
262,-70
263,-67
264,-70
265,-73
266,-72
267,-85
268,-79
269,-75
270,-79
271,-73
272,-71
273,-76
274,-72
275,-72
276,-71
277,-73
278,-72
279,-77
280,-72
281,-73
282,-72
283,-74
