x_value,sender_rssi
101,-87
102,-87
103,-87
104,-87
105,-87
106,-87
107,-87
108,-87
109,-87
110,-88
111,-88
112,-87
113,-87
114,-87
115,-87
116,-88
117,-87
118,-89
119,-89
120,-87
121,-87
122,-87
123,-88
124,-87
125,-88
126,-87
127,-87
128,-87
129,-89
130,-87
131,-87
132,-87
133,-87
134,-86
135,-87
136,-86
137,-89
138,-87
139,-87
140,-87
141,-86
142,-87
143,-88
144,-87
145,-88
146,-88
147,-88
148,-88
149,-89
150,-88
151,-88
152,-88
153,-88
154,-89
155,-87
156,-89
157,-90
158,-88
159,-88
160,-90
161,-88
162,-88
163,-87
164,-88
165,-87
166,-88
167,-88
168,-87
169,-87
170,-87
171,-87
172,-87
173,-87
174,-87
175,-87
176,-86
177,-89
178,-86
179,-87
180,-87
181,-87
182,-88
183,-87
184,-87
185,-88
186,-86
187,-87
188,-88
189,-88
190,-88
191,-87
192,-89
193,-87
194,-89
195,-89
196,-87
197,-87
199,-86
200,-88
