x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
38,13,7,5,29.51,996.1,51.54,143.94,-64,6.75
39,13,7,5,29.56,996.02,51.45,144.45,-65,7.0
40,13,7,5,29.62,996.0,51.42,144.62,-64,7.0
41,13,7,5,29.71,995.98,51.35,144.62,-65,6.25
42,13,7,5,29.75,995.98,51.23,144.62,-66,7.5
43,13,7,5,29.79,995.98,51.18,144.79,-64,7.25
44,13,7,5,29.79,995.9,51.2,144.96,-65,6.5
45,13,7,5,29.69,995.94,51.21,145.46,-63,6.75
46,13,7,5,29.58,995.88,51.09,145.46,-63,7.75
47,13,7,5,29.48,995.84,51.14,145.97,-65,6.75
48,13,7,5,29.41,995.82,51.49,145.8,-62,7.5
49,13,7,5,29.2,995.84,51.7,146.14,-63,7.5
50,13,7,5,28.97,995.78,52.07,146.14,-63,6.75
51,13,7,5,28.78,995.8,52.39,146.14,-64,7.75
52,13,7,5,28.68,995.86,52.71,145.63,-64,6.5
53,13,7,5,28.65,995.84,52.78,145.97,-65,6.25
54,13,7,5,28.68,995.96,53.13,144.62,-67,8.0
55,13,7,5,28.73,996.02,53.21,144.62,-67,7.75
56,13,7,5,28.74,995.98,53.3,144.28,-65,7.5
57,13,7,5,28.78,996.04,53.22,144.11,-64,7.0
58,13,7,5,28.83,996.02,53.09,144.62,-66,7.0
59,13,7,5,28.89,995.98,53.01,144.62,-64,6.5
60,13,7,5,28.93,995.96,52.95,144.79,-64,6.5
61,13,7,5,28.97,995.9,52.96,145.12,-64,6.75
62,13,7,5,29.03,995.96,53.07,145.29,-65,7.5
63,13,7,5,29.13,995.96,53.16,144.62,-66,7.75
64,13,7,5,29.21,996.02,53.13,144.45,-66,7.75
65,13,7,5,29.27,995.96,52.99,144.96,-66,7.75
66,13,7,5,29.4,995.98,52.99,144.96,-67,7.0
67,13,7,5,29.53,995.94,52.97,144.96,-64,7.0
68,13,7,5,29.57,995.92,52.64,144.79,-66,7.75
69,13,7,5,29.58,996.02,52.27,144.11,-66,6.25
70,13,7,5,29.62,995.98,52.12,145.12,-74,8.75
71,13,7,5,29.62,995.94,51.85,145.12,-65,7.0
72,13,7,5,29.59,995.9,51.64,145.29,-68,6.5
73,13,7,5,29.57,995.92,51.54,144.96,-66,7.75
74,13,7,5,29.55,996.0,51.5,144.28,-66,7.5
75,13,7,5,29.6,996.02,51.54,144.28,-66,7.75
76,13,7,5,29.64,996.02,51.44,144.96,-66,7.5
77,13,7,5,29.65,996.02,51.35,144.96,-66,7.75
78,13,7,5,29.66,995.96,51.25,145.12,-70,7.25
79,13,7,5,29.67,995.98,51.21,144.96,-66,7.25
80,13,7,5,29.69,995.96,51.32,145.12,-65,7.25
81,13,7,5,29.72,995.96,51.32,145.29,-65,8.0
82,13,7,5,29.74,995.96,51.31,144.96,-66,7.5
83,13,7,5,29.76,995.96,51.36,145.12,-64,6.5
84,13,7,5,29.84,995.96,51.48,145.29,-66,6.75
85,13,7,5,29.93,995.98,51.6,144.62,-66,7.5
86,13,7,5,30.0,995.96,51.49,144.79,-64,7.5
