x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
74,0,7,5,19.99,992.74,56.26,174.72,-96,6.0
75,0,7,5,19.94,992.06,56.34,179.04,-96,5.25
76,0,7,5,19.87,991.83,56.44,179.88,-96,6.25
77,0,7,5,19.8,991.77,56.46,180.56,-98,0.5
78,0,7,5,19.72,991.75,56.53,180.39,-95,7.0
79,0,7,5,19.65,991.73,56.59,180.9,-94,7.25
80,0,7,5,19.58,991.73,56.69,180.9,-94,7.0
81,0,7,5,19.52,991.73,56.87,180.73,-94,7.5
82,0,7,5,19.47,991.71,56.97,181.07,-93,7.25
83,0,7,5,19.43,991.69,57.11,181.24,-94,7.0
84,0,7,5,19.4,991.63,57.27,181.07,-94,7.0
85,0,7,5,19.38,991.67,57.41,180.9,-96,6.5
86,0,7,5,19.37,991.69,57.55,180.9,-96,6.25
