x_value,power,SF,CR,latitude,lat,longitude,lon,temperature,pressure,humidity,altitude,sender_rssi
38,14,7,5,4547.1558,N,452.7076,E,40.86,996.78,24.36,138.2,-44
39,14,7,5,4547.1558,N,452.7076,E,40.52,996.74,23.79,138.2,-44
40,14,7,5,4547.1558,N,452.7076,E,40.16,996.74,23.68,138.37,-46
41,14,7,5,4547.1558,N,452.7076,E,39.76,996.7,23.73,138.71,-54
42,14,7,5,4547.1558,N,452.7076,E,39.4,996.69,23.98,138.96,-56
43,14,7,5,4547.1558,N,452.7076,E,39.05,996.65,24.45,138.96,-56
44,14,7,5,4547.1558,N,452.7076,E,38.78,996.65,24.94,138.71,-55
45,14,7,5,4547.1558,N,452.7076,E,38.47,996.72,25.17,138.37,-58
46,14,7,5,4547.1558,N,452.7076,E,38.17,996.74,25.32,138.37,-57
47,14,7,5,4547.1558,N,452.7076,E,37.75,996.7,25.59,138.79,-57
48,14,7,5,4547.1558,N,452.7076,E,37.39,996.69,25.8,138.79,-57
49,14,7,5,4547.1562,N,452.7075,E,37.05,996.72,26.05,138.54,-57
50,14,7,5,4547.1562,N,452.7074,E,36.8,996.74,26.38,138.37,-55
51,14,7,5,4547.1562,N,452.7075,E,36.59,996.7,26.83,138.79,-57
52,14,7,5,4547.1562,N,452.7076,E,36.32,996.7,26.75,138.71,-57
53,14,7,5,4547.1562,N,452.7079,E,36.0,996.7,26.96,138.71,-56
54,14,7,5,4547.1562,N,452.7079,E,35.74,996.74,27.22,138.71,-57
55,14,7,5,4547.1562,N,452.708,E,35.55,996.7,27.3,138.79,-56
56,14,7,5,4547.1562,N,452.708,E,35.45,996.67,27.82,138.79,-57
57,14,7,5,4547.1562,N,452.708,E,35.36,996.67,28.05,138.71,-57
58,14,7,5,4547.1562,N,452.708,E,35.3,996.65,28.61,139.13,-58
59,14,7,5,4547.1558,N,452.708,E,35.35,996.65,28.8,138.79,-60
60,14,7,5,4547.1558,N,452.708,E,35.39,996.65,28.88,139.47,-58
61,14,7,5,4547.1558,N,452.7081,E,35.34,996.63,28.8,139.13,-59
62,14,7,5,4547.1558,N,452.7082,E,35.31,996.69,28.75,138.96,-58
63,14,7,5,4547.1558,N,452.7083,E,35.3,996.63,28.76,138.96,-57
