x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi
81,3,7,5,27.87,991.48,49.97,184.2,-77
82,3,7,5,27.87,991.14,50.1,186.24,-76
83,3,7,5,27.87,991.02,50.16,187.0,-76
84,3,7,5,27.88,990.99,50.17,187.34,-76
85,3,7,5,27.89,990.97,50.18,187.17,-77
86,3,7,5,27.89,990.93,50.17,187.17,-77
87,3,7,5,27.85,990.93,50.2,187.51,-76
88,3,7,5,27.83,990.95,50.28,187.51,-77
89,3,7,5,27.84,990.93,50.32,187.51,-78
90,3,7,5,27.85,990.93,50.34,187.51,-77
91,3,7,5,27.84,990.93,50.34,187.51,-78
92,3,7,5,27.82,990.97,50.35,187.51,-79
93,3,7,5,27.83,990.93,50.37,187.51,-77
94,3,7,5,27.84,990.93,50.37,187.68,-78
95,3,7,5,27.84,990.95,50.36,187.68,-78
96,3,7,5,27.84,990.95,50.38,187.51,-78
97,3,7,5,27.86,990.95,50.36,187.51,-77
98,3,7,5,27.86,990.91,50.34,187.51,-77
99,3,7,5,27.9,990.89,50.32,187.68,-76
100,3,7,5,27.92,990.95,50.27,187.17,-77
101,3,7,5,27.93,990.91,50.22,187.34,-77
102,3,7,5,27.94,990.89,50.21,187.68,-77
103,3,7,5,27.94,990.89,50.2,187.51,-76
104,3,7,5,27.93,990.91,50.22,187.51,-77
105,3,7,5,27.95,990.91,50.28,187.68,-76
106,3,7,5,27.98,990.95,50.32,187.51,-77
107,3,7,5,28.03,990.89,50.28,188.19,-76
108,3,7,5,28.09,990.87,50.22,188.02,-77
109,3,7,5,28.14,990.87,50.14,187.68,-77
110,3,7,5,28.2,990.85,50.06,188.02,-77
111,3,7,5,28.23,990.83,49.98,188.19,-76
112,3,7,5,28.25,990.89,49.92,187.51,-78
113,3,7,5,28.26,990.91,49.9,187.51,-77
114,3,7,5,28.27,990.91,49.93,187.68,-76
115,3,7,5,28.28,990.87,49.91,187.85,-77
116,3,7,5,28.28,990.89,49.83,187.51,-77
117,3,7,5,28.23,990.93,49.74,187.34,-76
118,3,7,5,28.19,990.91,49.71,187.85,-77
119,3,7,5,28.15,990.93,49.73,187.68,-77
120,3,7,5,28.1,990.91,49.79,187.51,-76
121,3,7,5,28.07,990.93,49.86,187.34,-78
122,3,7,5,28.05,990.93,49.94,187.68,-77
123,3,7,5,28.04,990.93,49.98,187.51,-77
124,3,7,5,28.06,990.93,50.04,187.34,-79
125,3,7,5,28.07,990.93,50.07,187.34,-79
126,3,7,5,28.09,990.93,50.09,187.34,-78
127,3,7,5,28.11,990.93,50.07,187.51,-79
128,3,7,5,28.13,990.91,50.04,187.51,-79
129,3,7,5,28.14,990.97,50.0,187.51,-79
