x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
363,13,7,5,25.95,996.2,57.49,142.93,-69,6.75
364,13,7,5,25.97,996.14,57.73,143.27,-68,7.25
365,13,7,5,26.0,996.18,57.86,143.1,-68,7.0
366,13,7,5,25.98,996.2,57.85,143.1,-69,6.5
367,13,7,5,25.95,996.16,57.83,143.27,-68,6.75
368,13,7,5,25.97,996.14,57.83,143.44,-69,6.75
369,13,7,5,25.98,996.12,57.82,143.27,-69,6.5
370,13,7,5,26.01,996.18,57.81,143.27,-68,7.5
371,13,7,5,26.03,996.18,57.86,143.27,-69,6.25
372,13,7,5,26.06,996.16,57.9,142.93,-68,6.75
373,13,7,5,26.09,996.16,57.89,143.27,-69,7.0
374,13,7,5,26.08,996.12,57.8,143.61,-69,7.25
375,13,7,5,26.04,996.14,57.71,143.27,-68,6.75
376,13,7,5,26.02,996.18,57.61,143.27,-68,7.75
377,13,7,5,26.03,996.18,57.6,143.27,-69,6.75
378,13,7,5,26.05,996.16,57.61,143.44,-69,6.5
379,13,7,5,26.08,996.16,57.62,142.93,-69,7.5
380,13,7,5,26.09,996.18,57.64,142.93,-69,7.5
381,13,7,5,26.08,996.14,57.66,143.27,-68,7.5
382,13,7,5,26.09,996.18,57.71,142.93,-68,7.0
383,13,7,5,26.09,996.18,57.71,142.93,-70,6.75
384,13,7,5,26.11,996.16,57.58,143.27,-70,6.75
385,13,7,5,26.14,996.14,57.45,143.1,-70,7.0
386,13,7,5,26.15,996.2,57.31,143.1,-69,6.75
387,13,7,5,26.14,996.18,57.37,143.1,-68,7.5
388,13,7,5,26.13,996.18,57.44,142.76,-68,7.0
389,13,7,5,26.09,996.18,57.59,142.93,-70,8.25
390,13,7,5,26.08,996.18,57.72,142.93,-69,7.0
391,13,7,5,26.09,996.23,57.81,142.51,-70,7.0
392,13,7,5,26.07,996.23,57.8,142.51,-70,7.75
393,13,7,5,25.99,996.23,57.49,142.76,-70,6.0
394,13,7,5,25.87,996.22,57.53,142.93,-70,8.0
395,13,7,5,25.74,996.2,57.44,143.1,-71,7.75
396,13,7,5,25.64,996.16,57.24,142.93,-70,7.75
397,13,7,5,25.55,996.16,57.18,143.44,-69,7.25
398,13,7,5,25.5,996.18,57.18,143.27,-69,6.75
399,13,7,5,25.46,996.16,57.29,143.27,-69,6.75
400,13,7,5,25.44,996.16,57.43,143.1,-68,7.0
401,13,7,5,25.41,996.18,57.56,142.76,-69,7.25
402,13,7,5,25.39,996.18,57.72,143.27,-69,6.5
403,13,7,5,25.37,996.18,57.86,143.1,-69,6.5
404,13,7,5,25.35,996.2,57.98,142.93,-70,6.5
405,13,7,5,25.33,996.2,58.13,143.1,-71,7.75
406,13,7,5,25.33,996.18,58.25,143.1,-70,8.0
407,13,7,5,25.33,996.2,58.27,142.76,-70,7.75
408,13,7,5,25.38,996.23,58.45,142.68,-70,7.25
409,13,7,5,25.41,996.22,58.55,142.68,-70,7.25
410,13,7,5,25.43,996.2,58.38,142.76,-69,7.5
411,13,7,5,25.46,996.18,58.19,143.1,-68,7.0
412,13,7,5,25.5,996.22,58.13,142.93,-68,7.25
