x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
117,0,7,5,20.89,998.2,54.71,126.4,-88,8.5
118,0,7,5,20.8,998.12,54.76,126.57,-89,8.75
119,0,7,5,20.71,998.06,54.84,127.24,-89,8.25
120,0,7,5,20.64,998.14,55.06,126.4,-88,8.0
121,0,7,5,20.59,998.14,55.25,126.74,-89,8.25
122,0,7,5,20.59,998.14,55.51,126.74,-87,8.5
123,0,7,5,20.64,998.05,55.69,127.33,-87,8.25
124,0,7,5,20.67,997.95,55.7,128.34,-88,8.25
125,0,7,5,20.61,997.85,55.66,129.01,-89,8.25
126,0,7,5,20.54,997.91,55.69,128.34,-88,8.0
127,0,7,5,20.46,997.97,55.72,127.83,-87,8.75
128,0,7,5,20.38,997.99,55.74,127.83,-88,8.5
129,0,7,5,20.31,997.97,55.82,128.0,-88,8.5
130,0,7,5,20.26,997.97,55.89,128.17,-86,8.0
131,0,7,5,20.22,997.95,55.94,128.0,-87,8.0
132,0,7,5,20.19,997.99,56.02,127.66,-88,8.0
133,0,7,5,20.15,997.99,56.13,127.83,-87,10.5
134,0,7,5,20.11,998.01,56.25,127.83,-87,8.25
135,0,7,5,20.09,998.01,56.38,127.66,-87,8.25
136,0,7,5,20.07,998.01,56.53,127.49,-87,8.5
137,0,7,5,20.08,998.01,56.69,127.66,-88,8.5
138,0,7,5,20.13,997.99,56.84,128.0,-88,8.5
139,0,7,5,20.15,997.95,56.95,127.66,-89,8.0
140,0,7,5,20.16,997.93,57.03,128.67,-89,8.25
141,0,7,5,20.15,997.91,57.09,128.34,-88,8.25
142,0,7,5,20.15,997.97,57.07,128.0,-86,8.5
