x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
208,3,7,5,22.08,1000.62,42.76,104.51,-102,1.25
209,3,7,5,22.09,1001.37,42.88,101.57,-99,5.0
210,3,7,5,22.07,1000.68,42.92,106.36,-98,5.5
211,3,7,5,22.02,1003.33,42.94,86.53,-100,3.75
212,3,7,5,21.99,1002.5,42.85,93.33,-100,3.25
213,3,7,5,21.97,1000.94,42.94,109.14,-97,6.0
214,3,7,5,21.98,1000.31,42.82,109.31,-96,6.5
215,3,7,5,21.98,999.54,43.19,118.65,-97,6.25
216,3,7,5,21.89,998.85,42.93,121.26,-97,6.25
217,3,7,5,21.78,998.85,42.88,118.73,-97,6.0
218,3,7,5,21.69,999.34,42.56,114.94,-97,6.0
219,3,7,5,21.64,999.81,42.48,112.0,-101,3.0
220,3,7,5,21.61,1000.13,42.47,109.47,-97,5.75
221,3,7,5,21.58,1000.17,42.47,109.64,-98,5.5
222,3,7,5,21.59,1000.25,42.53,108.3,-100,3.5
223,3,7,5,21.65,999.58,42.81,114.78,-97,6.25
224,3,7,5,21.68,999.91,42.83,109.47,-98,7.5
225,3,7,5,21.73,999.63,43.01,114.35,-101,5.25
226,3,7,5,21.76,999.85,43.14,110.99,-101,5.5
227,3,7,5,21.77,1000.05,42.92,108.63,-100,5.25
228,3,7,5,21.81,1000.39,43.0,109.47,-98,6.5
229,3,7,5,21.87,1000.64,43.05,103.33,-100,6.0
230,3,7,5,21.94,1000.74,43.1,105.18,-98,6.75
231,3,7,5,21.98,999.71,43.47,113.18,-98,6.75
232,3,7,5,22.0,1000.05,43.19,108.3,-98,6.25
233,3,7,5,22.03,999.85,43.21,110.99,-100,5.5
234,3,7,5,22.05,1000.21,43.24,107.29,-102,4.25
235,3,7,5,22.06,1000.21,43.13,109.47,-100,5.75
236,3,7,5,22.05,1000.15,43.04,111.16,-98,7.0
237,3,7,5,22.01,1000.23,43.12,108.63,-98,7.5
238,3,7,5,22.01,1000.15,43.42,109.81,-100,7.25
239,3,7,5,22.03,1000.23,42.88,108.63,-100,6.25
240,3,7,5,22.04,1000.39,42.88,107.2,-101,5.75
241,3,7,5,22.03,1000.44,42.87,107.29,-100,7.25
242,3,7,5,21.98,1000.05,42.84,108.3,-99,7.25
243,3,7,5,21.93,1000.39,42.91,108.46,-98,7.25
244,3,7,5,21.91,1001.64,43.07,95.6,-100,5.0
245,3,7,5,21.89,1000.9,43.13,108.13,-99,7.5
246,3,7,5,21.85,999.28,43.17,116.8,-98,8.25
247,3,7,5,21.77,999.1,43.07,118.31,-100,7.0
248,3,7,5,21.69,998.97,42.94,119.24,-97,8.0
249,3,7,5,21.63,998.69,43.07,123.37,-97,8.0
250,3,7,5,21.61,998.48,42.92,120.59,-101,5.75
251,3,7,5,21.64,998.83,43.04,119.07,-99,7.0
252,3,7,5,21.64,999.24,42.96,117.3,-98,7.25
253,3,7,5,21.61,999.61,42.9,113.68,-103,4.5
254,3,7,5,21.56,999.65,42.85,112.84,-102,5.0
255,3,7,5,21.55,999.52,42.84,114.19,-98,7.75
256,3,7,5,21.59,999.83,42.8,111.32,-101,6.5
257,3,7,5,21.64,999.61,42.81,116.12,-98,8.25
258,3,7,5,21.63,999.28,42.85,117.3,-102,5.75
259,3,7,5,21.63,999.38,42.84,116.8,-102,6.0
260,3,7,5,21.63,999.38,42.88,116.12,-102,5.5
261,3,7,5,21.64,999.08,42.94,120.59,-98,7.75
