x_value,power,SF,CR,temperature,pressure,humidity,sender_rssi,sender_snr
351,3,7,8,30.78,998.71,45.42,-121,-8.75
353,3,7,8,30.8,998.65,45.37,-120,-8.5
355,3,7,8,30.8,998.65,45.33,-120,-8.5
357,3,7,8,30.82,998.63,45.3,-120,-9.5
373,3,7,8,30.59,998.6,45.35,-120,-8.5
375,3,7,8,30.56,998.61,45.38,-120,-8.0
383,3,7,8,30.46,998.65,45.7,-120,-8.5
399,3,7,8,30.88,998.6,45.05,-120,-8.25
403,3,7,8,30.96,998.61,44.83,-120,-9.5
413,3,7,8,31.41,998.54,43.92,-120,-9.5
415,3,7,8,31.57,998.52,43.58,-120,-7.75
417,3,7,8,31.71,998.52,43.32,-120,-8.25
419,3,7,8,31.77,998.5,43.06,-120,-7.75
421,3,7,8,31.77,998.52,43.04,-120,-9.5
423,3,7,8,31.8,998.46,43.09,-120,-8.0
431,3,7,8,31.66,998.42,43.7,-120,-9.0
435,3,7,8,31.34,998.46,44.04,-120,-8.0
