x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi
9,3,7,5,28.8,993.36,48.82,166.59,-75
10,3,7,5,28.91,993.42,48.74,166.42,-72
11,3,7,5,28.87,993.42,48.47,166.59,-73
12,3,7,5,28.76,993.4,48.31,166.42,-72
13,3,7,5,28.62,993.4,48.28,166.25,-72
14,3,7,5,28.48,993.42,48.37,166.42,-72
15,3,7,5,28.35,993.44,48.49,166.25,-72
16,3,7,5,28.25,993.46,48.69,166.25,-71
17,3,7,5,28.21,993.44,48.89,166.59,-70
18,3,7,5,28.2,993.46,49.12,166.59,-69
19,3,7,5,28.26,993.42,49.28,166.42,-70
20,3,7,5,28.25,993.44,49.28,166.08,-66
21,3,7,5,28.26,993.42,49.31,166.25,-68
22,3,7,5,28.26,993.46,49.3,166.42,-68
23,3,7,5,28.27,993.44,49.3,166.25,-68
24,3,7,5,28.26,993.44,49.3,166.08,-69
25,3,7,5,28.25,993.46,49.31,166.25,-68
26,3,7,5,28.24,993.44,49.31,166.08,-68
27,3,7,5,28.23,993.46,49.32,166.08,-69
28,3,7,5,28.22,993.46,49.33,165.91,-68
